Total Revenue: ['391,035,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00']
         748604 function calls (725758 primitive calls) in 1.833 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      295    1.222    0.004    1.222    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.102    0.102    0.102    0.102 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.095    0.095    0.095    0.095 {method 'connect' of '_socket.socket' objects}
      210    0.031    0.000    0.031    0.000 {method 'read' of '_io.BufferedReader' objects}
    25/23    0.025    0.001    0.025    0.001 {built-in method _imp.create_dynamic}
     2692    0.016    0.000    0.071    0.000 parser.py:301(parse_starttag)
    24816    0.013    0.000    0.013    0.000 {method 'match' of 're.Pattern' objects}
 3018/216    0.011    0.000    0.031    0.000 _parser.py:511(_parse)
        1    0.010    0.010    0.011    0.011 {built-in method _socket.getaddrinfo}
       25    0.010    0.000    0.010    0.000 {built-in method _imp.exec_dynamic}
      210    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
        2    0.010    0.005    0.115    0.058 parser.py:134(goahead)
        1    0.009    0.009    0.009    0.009 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 3545/180    0.007    0.000    0.016    0.000 _compiler.py:37(_compile)
77325/77305    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
3487/3390    0.006    0.000    0.007    0.000 {built-in method __new__ of type object at 0x10563fcf0}
    67367    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
     2575    0.005    0.000    0.008    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
  665/636    0.005    0.000    0.058    0.000 {built-in method builtins.__build_class__}
      255    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.005    0.005    0.020    0.020 dammit.py:70(_populate_class_variables)
53777/48961    0.005    0.000    0.006    0.000 {built-in method builtins.len}
     2692    0.004    0.000    0.028    0.000 __init__.py:722(handle_starttag)
      210    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
     5622    0.004    0.000    0.015    0.000 __init__.py:586(endData)
     2548    0.004    0.000    0.021    0.000 parser.py:379(parse_endtag)
     8013    0.004    0.000    0.004    0.000 element.py:156(setup)
     2693    0.003    0.000    0.013    0.000 element.py:1199(__init__)
      257    0.003    0.000    1.252    0.005 http11.py:192(_receive_event)
    236/1    0.003    0.000    1.833    1.833 {built-in method builtins.exec}
