Total Revenue: ['391,035,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00']
         719712 function calls (699924 primitive calls) in 7.376 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
      307    1.655    0.005    1.655    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.122    0.122    0.122    0.122 {method 'connect' of '_socket.socket' objects}
        1    0.121    0.121    0.121    0.121 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.068    0.068    0.068    0.068 {built-in method _socket.getaddrinfo}
    24/21    0.048    0.002    0.049    0.002 {built-in method _imp.create_dynamic}
      222    0.025    0.000    0.429    0.002 {method 'read' of '_io.BufferedReader' objects}
     2690    0.015    0.000    0.076    0.000 parser.py:301(parse_starttag)
    24703    0.014    0.000    0.014    0.000 {method 'match' of 're.Pattern' objects}
 3210/185    0.012    0.000    0.036    0.000 _parser.py:511(_parse)
        2    0.010    0.005    0.125    0.063 parser.py:134(goahead)
       24    0.010    0.000    0.010    0.000 {built-in method _imp.exec_dynamic}
      162    0.008    0.000    0.008    0.000 {built-in method marshal.loads}
        1    0.008    0.008    0.008    0.008 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      943    0.008    0.000    0.008    0.000 {built-in method posix.stat}
 3968/179    0.008    0.000    0.018    0.000 _compiler.py:37(_compile)
      162    0.007    0.000    0.007    0.000 {built-in method _io.open_code}
        3    0.006    0.002    0.006    0.002 {built-in method _scproxy._get_proxy_settings}
    72102    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
       39    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
73263/73255    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
3318/3292    0.005    0.000    0.007    0.000 {built-in method __new__ of type object at 0x104f3fcf0}
     2573    0.005    0.000    0.008    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     2690    0.005    0.000    0.030    0.000 __init__.py:722(handle_starttag)
     5618    0.004    0.000    0.017    0.000 __init__.py:586(endData)
56440/51688    0.004    0.000    0.005    0.000 {built-in method builtins.len}
     8011    0.004    0.000    0.004    0.000 element.py:156(setup)
  524/520    0.004    0.000    0.047    0.000 {built-in method builtins.__build_class__}
     2546    0.004    0.000    0.022    0.000 parser.py:379(parse_endtag)
     2691    0.004    0.000    0.014    0.000 element.py:1199(__init__)
    23223    0.004    0.000    0.005    0.000 _parser.py:167(__getitem__)
     2690    0.004    0.000    0.036    0.000 _htmlparser.py:105(handle_starttag)
     8081    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
    14092    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
      891    0.003    0.000    0.005    0.000 _compiler.py:241(_optimize_charset)
3150/1328    0.003    0.000    0.006    0.000 element.py:2331(_matches)
    10733    0.003    0.000    0.005    0.000 _markupbase.py:44(updatepos)
