Total Revenue: ['391,035,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00']
         719621 function calls (699848 primitive calls) in 1.906 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      307    1.281    0.004    1.281    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.102    0.102    0.102    0.102 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.094    0.094    0.094    0.094 {method 'connect' of '_socket.socket' objects}
        1    0.057    0.057    0.057    0.057 {built-in method _socket.getaddrinfo}
      222    0.030    0.000    0.303    0.001 {method 'read' of '_io.BufferedReader' objects}
    24/21    0.026    0.001    0.026    0.001 {built-in method _imp.create_dynamic}
     2690    0.014    0.000    0.071    0.000 parser.py:301(parse_starttag)
 3210/185    0.013    0.000    0.036    0.000 _parser.py:511(_parse)
    24703    0.013    0.000    0.013    0.000 {method 'match' of 're.Pattern' objects}
        2    0.010    0.005    0.118    0.059 parser.py:134(goahead)
      162    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
        1    0.008    0.008    0.008    0.008 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 3968/179    0.008    0.000    0.018    0.000 _compiler.py:37(_compile)
       24    0.007    0.000    0.007    0.000 {built-in method _imp.exec_dynamic}
       39    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    72087    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
73248/73240    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
  524/520    0.005    0.000    0.048    0.000 {built-in method builtins.__build_class__}
     2573    0.005    0.000    0.007    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
56410/51673    0.004    0.000    0.005    0.000 {built-in method builtins.len}
     2690    0.004    0.000    0.028    0.000 __init__.py:722(handle_starttag)
     5618    0.004    0.000    0.016    0.000 __init__.py:586(endData)
       22    0.004    0.000    0.004    0.000 {built-in method posix.listdir}
     2546    0.004    0.000    0.022    0.000 parser.py:379(parse_endtag)
     8011    0.004    0.000    0.004    0.000 element.py:156(setup)
    23208    0.004    0.000    0.005    0.000 _parser.py:167(__getitem__)
     2691    0.004    0.000    0.013    0.000 element.py:1199(__init__)
        1    0.004    0.004    1.906    1.906 financial_enhanced.py:1(<module>)
     2690    0.004    0.000    0.033    0.000 _htmlparser.py:105(handle_starttag)
        3    0.003    0.001    0.003    0.001 {built-in method _scproxy._get_proxy_settings}
3318/3292    0.003    0.000    0.004    0.000 {built-in method __new__ of type object at 0x102cffcf0}
      162    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
    14092    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
     8081    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
      891    0.003    0.000    0.005    0.000 _compiler.py:241(_optimize_charset)
3150/1328    0.003    0.000    0.006    0.000 element.py:2331(_matches)
    10733    0.003    0.000    0.005    0.000 _markupbase.py:44(updatepos)
 1204/179    0.003    0.000    0.036    0.000 _parser.py:451(_parse_sub)
 3981/365    0.003    0.000    0.003    0.000 _parser.py:177(getwidth)
    14831    0.003    0.000    0.004    0.000 _parser.py:260(get)
    19905    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     2689    0.003    0.000    0.005    0.000 __init__.py:688(_popToTag)
     2660    0.002    0.000    0.006    0.000 __init__.py:620(object_was_parsed)
     2690    0.002    0.000    0.016    0.000 _htmlparser.py:160(handle_endtag)
    14995    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
    22053    0.002    0.000    0.002    0.000 _parser.py:239(__next)
        1    0.002    0.002    0.016    0.016 dammit.py:70(_populate_class_variables)
       40    0.002    0.000    0.008    0.000 response.py:122(decompress)
     2691    0.002    0.000    0.003    0.000 __init__.py:572(pushTag)
      943    0.002    0.000    0.002    0.000 {built-in method posix.stat}
     7924    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
    14800    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
     2660    0.002    0.000    0.004    0.000 element.py:943(__new__)
        1    0.002    0.002    0.002    0.002 models.py:909(text)
     1940    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
     3865    0.002    0.000    0.011    0.000 element.py:2298(search)
     2689    0.002    0.000    0.014    0.000 __init__.py:763(handle_endtag)
      480    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
     2690    0.002    0.000    0.002    0.000 __init__.py:558(popTag)
     1968    0.001    0.000    0.008    0.000 element.py:2235(search_tag)
      307    0.001    0.000    1.283    0.004 ssl.py:1289(recv_into)
      307    0.001    0.000    1.286    0.004 socket.py:706(readinto)
     2690    0.001    0.000    0.006    0.000 parser.py:345(check_for_whole_start_tag)
    11435    0.001    0.000    0.002    0.000 _parser.py:255(match)
    12107    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     9642    0.001    0.000    0.002    0.000 _parser.py:163(__len__)
       60    0.001    0.000    0.014    0.000 element.py:792(_find_all)
     2488    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      475    0.001    0.000    0.002    0.000 css_types.py:37(__init__)
        1    0.001    0.001    0.001    0.001 {method '_wrap_socket' of '_ssl._SSLContext' objects}
     1417    0.001    0.000    0.001    0.000 __init__.py:648(_linkage_fixer)
6556/6488    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2145    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
      709    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
    10143    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      300    0.001    0.000    0.061    0.000 __init__.py:330(_compile)
     5791    0.001    0.000    0.001    0.000 _parser.py:175(append)
       93    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       16    0.001    0.000    0.002    0.000 enum.py:1749(convert_class)
     2561    0.001    0.000    0.002    0.000 _htmlparser.py:178(handle_data)
       13    0.001    0.000    0.001    0.000 queue.py:180(get)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
     7172    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     5963    0.001    0.000    0.004    0.000 __init__.py:122(unescape)
       19    0.001    0.000    0.286    0.015 {method 'join' of 'bytes' objects}
     2660    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
     5498    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      162    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
     2690    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
     4118    0.001    0.000    0.001    0.000 _parser.py:292(tell)
    10038    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     4225    0.001    0.000    0.003    0.000 {built-in method builtins.next}
     2680    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      307    0.001    0.000    1.282    0.004 ssl.py:1129(read)
      214    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     5468    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      162    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
      891    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
     8125    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
    217/4    0.001    0.000    0.198    0.049 <frozen importlib._bootstrap>:1349(_find_and_load)
      120    0.001    0.000    0.001    0.000 _compiler.py:470(_get_charset_prefix)
      265    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
     4243    0.001    0.000    0.001    0.000 element.py:2057(descendants)
     7990    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
      254    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
      313    0.001    0.000    0.002    0.000 css_parser.py:999(selector_iter)
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     1052    0.000    0.000    0.001    0.000 _parser.py:311(_class_escape)
        2    0.000    0.000    0.097    0.048 client.py:213(_read_headers)
       17    0.000    0.000    0.001    0.000 __init__.py:358(namedtuple)
     3129    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      324    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
     2976    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     3250    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
      179    0.000    0.000    0.003    0.000 _compiler.py:514(_compile_info)
     4641    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
    164/1    0.000    0.000    1.906    1.906 {built-in method builtins.exec}
     3675    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      307    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      210    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      190    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      307    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 ssl.py:1361(_real_close)
    216/4    0.000    0.000    0.198    0.049 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     2691    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
     2691    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
     2670    0.000    0.000    0.001    0.000 element.py:2198(_normalize_search_value)
     3250    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      179    0.000    0.000    0.059    0.000 _compiler.py:743(compile)
     3823    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      791    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
     1362    0.000    0.000    0.001    0.000 _parser.py:171(__setitem__)
      309    0.000    0.000    0.000    0.000 socket.py:744(readable)
     2579    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
    453/8    0.000    0.000    0.195    0.024 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x102e58180}
       42    0.000    0.000    0.285    0.007 models.py:816(generate)
    45/14    0.000    0.000    0.008    0.001 css_parser.py:847(parse_selectors)
     2241    0.000    0.000    0.001    0.000 css_parser.py:305(match)
     2690    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
       66    0.000    0.000    1.012    0.015 {method 'readline' of '_io.BufferedReader' objects}
       51    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
     2109    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       40    0.000    0.000    0.284    0.007 response.py:1173(read_chunked)
    190/4    0.000    0.000    0.197    0.049 <frozen importlib._bootstrap>:911(_load_unlocked)
        2    0.000    0.000    1.018    0.509 connection.py:485(getresponse)
       10    0.000    0.000    0.002    0.000 enum.py:894(_convert_)
      880    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
     2756    0.000    0.000    0.000    0.000 {built-in method builtins.max}
     1004    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
     2553    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        6    0.000    0.000    0.002    0.000 feedparser.py:218(_parsegen)
      162    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     2546    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
       22    0.000    0.000    0.475    0.022 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      179    0.000    0.000    0.037    0.000 _parser.py:970(parse)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.001    0.000 feedparser.py:472(_parse_headers)
       77    0.000    0.000    0.002    0.000 css_parser.py:450(parse_attribute_selector)
        2    0.000    0.000    0.001    0.000 _collections.py:240(__init__)
      186    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
     1495    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        2    0.000    0.000    0.003    0.001 parser.py:56(parsestr)
      162    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      134    0.000    0.000    0.001    0.000 typing.py:173(_type_check)
      975    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     2613    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      177    0.000    0.000    0.001    0.000 enum.py:1603(__and__)
       39    0.000    0.000    0.275    0.007 response.py:1151(_handle_chunk)
       16    0.000    0.000    0.000    0.000 message.py:494(get)
      486    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      901    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      137    0.000    0.000    0.000    0.000 css_parser.py:357(__init__)
       40    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      678    0.000    0.000    0.000    0.000 enum.py:1585(_get_value)
      331    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
      146    0.000    0.000    0.000    0.000 util.py:18(lower)
  190/186    0.000    0.000    0.028    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      938    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1461    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      324    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        2    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
